Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Time,Air Raids,Naval,Time Interval
1,26/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,2,unkn,,Early-Morning
2,26/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,2,unkn,,Early-Morning
3,26/03/2015,Capital,Bani Al-Harith,Al-Sonblah Neighbourhood,Residential Area,Civilian,Residential Area,2,unkn,,Early-Morning
4,26/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,3,unkn,,Early-Morning
5,26/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,3,unkn,,Early-Morning
6,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning
7,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning
8,26/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning
9,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Afternoon
10,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,16,1,,Afternoon
11,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,16,1,,Afternoon
12,26/03/2015,Sanaa,Arhab,Al-Farijah,Al-Farijah Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
13,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
14,26/03/2015,Sanaa,Hamdan,Dhila'a,Al-Estiqbal Military Camp,Military_Security_Target,Military Site,21,1,,Evening
15,26/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
16,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,21,1,,Evening
17,26/03/2015,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,21,unkn,,Evening
18,26/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
19,26/03/2015,Hajja,Washhah,-,Haqqah School,Educational_Facility,School,unkn,unkn,,Afternoon
20,26/03/2015,Hajja,Washhah,"Samir, Shammakh mountains",Unknown,Unknown,Unknown,unkn,unkn,,Afternoon
21,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,3,unkn,,Early-Morning
22,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,21,3,,Evening
23,26/03/2015,Saada,Haydan,Marran,Houses (reportedly belonging to the Houthis leader and his realtives),Political_Tribal,Figure,unkn,2,,Early-Morning
24,26/03/2015,Saada,Haydan,Maa,Weapons Storage,Military_Security_Target,Weapon storage,unkn,unkn,,Early-Morning
25,26/03/2015,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,unkn,,Early-Morning
26,26/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,15,unkn,,Afternoon
27,26/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,15,unkn,,Afternoon
28,26/03/2015,Saada,Al-Safra'a,Al-Naqa'ah,Unknown,Unknown,Unknown,15,unkn,,Afternoon
29,26/03/2015,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Badw Tents,Civilian,Residential Area,15,unkn,,Afternoon
30,26/03/2015,Saada,Al-Dhaher,Al-Marwee,Mountain,Unknown,Unknown,15,1,,Afternoon
31,26/03/2015,Taiz,Salah,-,SSF Camp,Military_Security_Target,Military Site,20,unkn,,Evening
32,26/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,20,unkn,,Evening
33,26/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn,,Evening
34,27/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
35,27/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
36,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
37,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,9,unkn,,Morning
38,27/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,7,unkn,,Evening
39,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,20,unkn,,Evening
40,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,8,unkn,,Evening
41,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,2,,Early-Morning
42,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,2,unkn,,Early-Morning
43,27/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
44,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
45,27/03/2015,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Radars Centre,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
46,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
47,27/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
48,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,,Evening
49,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
50,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn,,Evening
51,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,8,unkn,,Evening
52,27/03/2015,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,unkn,unkn,,Night
53,27/03/2015,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),23,1,,Night
54,27/03/2015,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,unkn,2,,Evening
55,27/03/2015,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,unkn,2,,Evening
56,27/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,unkn,1,,Evening
57,27/03/2015,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,4,unkn,,Early-Morning
58,27/03/2015,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,22,1,,Night
59,27/03/2015,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,4,unkn,,Early-Morning
60,27/03/2015,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,unkn,2,,Midday
61,27/03/2015,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,unkn,unkn,,Afternoon
62,27/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,2,unkn,,Early-Morning
63,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,4,unkn,,Early-Morning
64,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e Market,Civilian,Market place,unkn,unkn,,Morning
65,27/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,unkn,unkn,,Midday
66,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,Unknown,Unknown,Unknown,unkn,unkn,,Midday
67,27/03/2015,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,17,unkn,,Afternoon
68,28/03/2015,Capital,Azal,Noqom,Weapons Storage,Military_Security_Target,Weapon storage,3,unkn,,Early-Morning
69,28/03/2015,Capital,Al-Wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,Political_Tribal,Figure,3,unkn,,Early-Morning
70,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,4,unkn,,Early-Morning
71,28/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
72,28/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,19,unkn,,Evening
73,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,24,unkn,,Evening
74,28/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Evening
75,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,5,,Early-Morning
76,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,,Evening
77,28/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
78,28/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
79,28/03/2015,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,23,unkn,unkn,Afternoon
80,28/03/2015,Abyan,Zinjibar,Wadi Hassan ,Pro-Houthi forces,Military_Security_Target,Forces,unkn,,unkn,Evening
81,28/03/2015,Amran,Qaflah Odhr,-,Al-Qashlah Military Camp,Military_Security_Target,Military Site,17,3,,Afternoon
82,28/03/2015,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,1,unkn,,Early-Morning
83,28/03/2015,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn,,Night
84,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,19,unkn,,Evening
85,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,20,unkn,,Evening
86,28/03/2015,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,unkn,,Evening
87,28/03/2015,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Evening
88,28/03/2015,Jawf,Al-Ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),Political_Tribal,Figure,unkn,unkn,,Midday
89,28/03/2015,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,unkn,1,,Early-Morning
90,28/03/2015,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,17,1,,Afternoon
91,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Unknown
92,28/03/2015,Saada,Sa'ada,The City,School ,Educational_facility,School,13,unkn,,Afternoon
93,28/03/2015,Saada,Sa'ada,The City,Electricity station,Economic_infrastructure,Water & Electricity,13,unkn,,Afternoon
94,28/03/2015,Saada,Sa'ada,-,Central jail ,Military_Security_Target,Military Site,16,unkn,,Afternoon
95,28/03/2015,Saada,Sa'ada,-,Yemeni Gas Company,Infrastructure,Gov. compounds,16,unkn,,Afternoon
96,28/03/2015,Saada,Al-Dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),Military_Security_Target,Military Site,unkn,unkn,,Evening
97,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn,,Evening
98,28/03/2015,Saada,Saqain,Al-Sha'af,Unknown,Unknown,Unknown,unkn,3,,Evening
99,28/03/2015,Saada,Sa'ada,Kahlan,Kahlan Military Camp,Military_Security_Target,Military Site,23,8,,Night
100,28/03/2015,Saada,Sa'ada,-,1st Artillery Brigade,Military_Security_Target,Military Site,24,unkn,,Night
101,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,unkn,,Early-Morning
102,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,unkn,unkn,,Early-Morning
103,29/03/2015,Capital,Ma'ain,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,20,unkn,,Evening
104,29/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,20,unkn,,Evening
105,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,20,unkn,,Evening
106,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,21,unkn,,Evening
107,29/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
108,29/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn,,Evening
109,29/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,20,unkn,,Evening
110,29/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,20,unkn,,Evening
111,29/03/2015,Bayda,No'man,Aqabat Al-Sahah,Pro-Houthi forces,Military_Security_Target,Forces,16,1,,Afternoon
112,29/03/2015,Dhamar,Ans,Al-Qarn,Pro-Houthi forces training camps,Military_Security_Target,Military Site,22,unkn,,Night
113,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,1,unkn,,Early-Morning
114,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Air Defence Battalion,Military_Security_Target,Military Site,unkn,unkn,,Unknown
115,29/03/2015,Hudaydah,Al-Mina,-,Naval Collage,Military_Security_Target,Military Site,21,unkn,,Evening
116,29/03/2015,Hudaydah,Al-Mina,Al-Katheeb,Radar station,Military_Security_Target,Military Site,21,unkn,,Evening
117,29/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,21,1,,Evening
118,29/03/2015,Jawf,Khab Wa Al-Sha'af,Habash Mountain,Telecommunications Towers,Infrastructure,Communication,unkn,unkn,,Midday
119,29/03/2015,Marib,Marib,East of Marib City,Military Sites,Military_Security_Target,Military Site,unkn,unkn,,Evening
120,29/03/2015,Marib,Marib,Sahn Al-Jin,Detecting Radars,Military_Security_Target,Military Site,21,1,,Evening
121,29/03/2015,Marib,Marib,Third Military  region HQ,Air Defence Battalion,Military_Security_Target,Military Site,21,1,,Evening
122,29/03/2015,Saada,Baqim,"Ma'ali, Mara'a, Abwab Al-Hadeed",Unknown,Civilian,Residential Area,unkn,unkn,,Midday
123,29/03/2015,Saada,Sihar,Al-Mahadher,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Midday
124,29/03/2015,Saada,Razih,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Midday
125,29/03/2015,Saada,Saqain,"Qarhid, Khamees Al-Mihwar",Unknown,Civilian,Residential Area,unkn,unkn,,Midday
126,29/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,18,unkn,,Evening
127,29/03/2015,Saada,Sa'ada,The City,Cultural Centre,Infrastructure,Gov. Compounds,unkn,3,,Unknown
128,29/03/2015,Saada,Sa'ada,The City,Al-Ibbi House,Civilian,Residential Area,unkn,unkn,,Unknown
129,29/03/2015,Saada,Haydan,-,Unknown,Unknown,Unknown,18,unkn,,Evening
130,29/03/2015,Shabwa,Bayhan,Aqabat Al-Qandha'a,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Midday
131,29/03/2015,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Al-Arous Military Camp,Military_Security_Target,Military Site,unkn,1,,Midday
132,29/03/2015,Taiz,Al-Mukha,Al-Mukha Port,Air Defence Military Sites,Military_Security_Target,Military Site,20,1,,Evening
133,30/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn,,Early-Morning
134,30/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,10,unkn,,Midday
135,30/03/2015,Capital,Al-Wahdah,60m Road,Military supplies camp,Military_Security_Target,Military Site,16,unkn,,Afternoon
136,30/03/2015,Capital,Al-Wahdah,60m Road,YEC Storage units,Economic_infrastructure,Food (Storage/transportation),16,unkn,,Afternoon
137,30/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,1,,Morning
138,30/03/2015,Sanaa,Bani Hushaysh,Al-Jamimah,Al-Jamimah Military Camp,Military_Security_Target,Military Site,10,1,,Midday
139,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,16,unkn,,Afternoon
140,30/03/2015,Sanaa,Bani Matar,Ayban Mountain,Air Defence Batteries,Military_Security_Target,Military Site,16,unkn,,Afternoon
141,30/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,16,unkn,,Afternoon
142,30/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,20,unkn,,Evening
143,30/03/2015,Abyan,Khanfir,Shaqrah,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),15,,unkn,Afternoon
144,30/03/2015,Abyan,Zinjibar,-,15th Infantry Brigade,Military_Security_Target,Military Site,21,,unkn,Evening
145,30/03/2015,Abyan,Khanfir,Al-Kod,Civilians Gathering,Civilian,Social gathering,unkn,unkn,,Evening
146,30/03/2015,Aden,Khor Maksar,Al-Alam Checkpoint,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),14,1,unkn,Midday
147,30/03/2015,Aden,Khor Maksar,Al-Areesh,Bus (with civilians onboard),Civilian,Vehicle/buss,unkn,1,,Afternoon
148,30/03/2015,Aden,Khor Maksar,-,Aden Airport,Infrastructure,Transport,20,1,,Evening
149,30/03/2015,Aden,Khor Maksar,Near President Hadi House,Residential Area,Civilian,Residential Area,unkn,unkn,,Evening
150,30/03/2015,Aden,Khor Maksar,-,39th Armoured Brigade,Military_Security_Target,Military Site,unkn,1,,Evening
151,30/03/2015,Aden,Al-Mualla,-,Aden Port,Infrastructure,Transport,unkn,2,,Evening
152,30/03/2015,Hajja,Harad,Al-Mazraq,IDPs Camp,Civilian,Residential Area,1,4,,Midday
153,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,4 Houses,Civilian,Residential Area,unkn,unkn,,Evening
154,30/03/2015,Ibb,Yarim,Bab Al-Dhawrain,2 Gas stations,Economic_infrastructure,Oil & Gas,unkn,unkn,,Evening
155,30/03/2015,Lahj,Tuban,Al-Husayni,Pro-Houthi forces,Military_Security_Target,Forces,21,3,,Evening
156,30/03/2015,Lahj,Al-Musyamir,-,Al-Wataniyah Cement Factory,Infrastructure,Factory,23,unkn,,Night
157,30/03/2015,Shabwa,Bayhan,Outskirts of the city,Anti-Houthi Groups,Military_Security_Target,Forces,unkn,1,,Afternoon
158,30/03/2015,Saada,Shada'a,Al-Mashnaq,Residential Area,Civilian,Residential Area,unkn,unkn,,Early-Morning
159,30/03/2015,Saada,Sa'ada,The City,Local Airport,Infrastructure,Transport,unkn,unkn,,Afternoon
160,30/03/2015,Saada,Sa'ada,Qahzah,Electricity Station,Economic_infrastructure,Water & Electricity,unkn,1,,Afternoon
161,30/03/2015,Saada,Kitaf Wa Al-Boqe'e,Marar,Unknown,Unknown,Unknown,unkn,1,,Afternoon
162,30/03/2015,Taiz,Mawyah,Awman Mountain,Air Defence Military Site (Missiles Battalion),Military_Security_Target,Military Site,20,4,,Evening
163,30/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn,,Evening
164,30/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,unkn,1,,Evening
165,30/03/2015,Taiz,Sabir Al-Mawadim,Al-Aroos Mountain,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Evening
166,31/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,1,2,,Early-Morning
167,31/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,unkn,,Early-Morning
168,31/03/2015,Capital,Al-Thawrah,Al-Nahdhdah,Former 1st Armoured Division,Military_Security_Target,Military Site,1,unkn,,Early-Morning
169,31/03/2015,Capital,Al-Sab'ein,Al-Nahdain,3rd Armoured Presdintial Guards,Military_Security_Target,Military Site,1,unkn,,Early-Morning
170,31/03/2015,Capital,Al-Sab'ein,Noqom Mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,21,unkn,,Evening
171,31/03/2015,Capital,Azal,Noqom Mountain,Weapons Storage,Military_Security_Target,Weapon storage,21,unkn,,Evening
172,31/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,2,3,,Early-Morning
173,31/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
174,31/03/2015,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,10,5,,Midday
175,31/03/2015,Dhalie,Al-Dhalie,-,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,10,unkn,,Midday
176,31/03/2015,Dhalie,Al-Dhalie,-,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
177,31/03/2015,Hajja,Harad,-,2nd Border Guards Brigade,Military_Security_Target,Military Site,3,unkn,,Early-Morning
178,31/03/2015,Hajja,Harad,-,DHL Mails Bus,Infrastructure,Transport,unkn,1,,Morning
179,31/03/2015,Hajja,Harad,-,Harad Customs,Infrastructure,Gov. compounds,19,1,,Evening
180,31/03/2015,Hajja,Harad,-,Al-Twal Crossing-Border,Infrastructure,Transport,20,unkn,,Evening
181,31/03/2015,Hajja,Midi,-,Midi Port,Infrastructure,Transport,22,unkn,,Night
182,31/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Military_Security_Target,Military Site,1,1,,Early-Morning
183,31/03/2015,Hudaydah,,-,Al-Ahliyah oil and packaging materials company,Economic_infrastructure,Private factory,unkn,unkn,,Unknown
184,31/03/2015,Hudaydah,,-,Al-Tadhamoniyah soft drinks company,Economic_infrastructure,Private factory,unkn,unkn,,Unknown
185,31/03/2015,Hudaydah,Al-Hali,Kilo 16,Yamani Dairy Factory,Economic_infrastructure,Private factory,23,4,,Night
186,31/03/2015,Hudaydah,,-,Dar Al-Dhyafah,Unknown,Unknown,24,unkn,,Night
187,31/03/2015,Hudaydah,Bajil,-,Coastal Defence Military Camp,Military_Security_Target,Military Site,24,unkn,,Night
188,31/03/2015,Hudaydah,Al-Hali,Jaizan Road,The Traffiq Police,Military_Security_Target,Military Site,24,unkn,,Night
189,31/03/2015,Ibb,Yarim,Kitab,Thawabah and Al-Qadiri Fuel Stations and Two Oil Trucks,Economic_infrastructure,Oil & Gas,3,8,,Early-Morning
190,31/03/2015,Ibb,Yarim,Al-Dhawrain,Al-Dhawrain Checkpoint,Military_Security_Target,Checkpoints,3,unkn,,Early-Morning
191,31/03/2015,Ibb,Yarim,The City,55th Artillery Brigade,Military_Security_Target,Military Site,22,unkn,,Night
192,31/03/2015,Marib,Marib,Sahn Al-Jin,Missiles Battalion,Military_Security_Target,Military Site,20,2,,Evening
193,31/03/2015,Marib,Marib,-,Military forces (Protection Oil pipeline),Military_Security_Target,Military Site,unkn,unkn,,Evening
194,31/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,unkn,4,,Early-Morning
195,31/03/2015,Saada,Shada'a,Al-Mothalath,Governmental Compound,Infrastructure,Gov. compounds,12,4,,Early-Morning
196,31/03/2015,Saada,Shada'a,Al-Mothalath,Security HQ,Military_Security_Target,Military Site,12,4,,Early-Morning
197,31/03/2015,Saada,Al-Dhaher,"Al-Hassamah, Wadi Layh",Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Midday
198,31/03/2015,Saada,Razih,Aqabat Bisbas,Pro-Houthi forces,Military_Security_Target,Forces,unkn,3,,Midday
199,31/03/2015,Saada,Haydan,Marran,Unknown,Unknown,Unknown,unkn,unkn,,Evening
200,31/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,21,12,,Evening
201,31/03/2015,Shabwa,Bayhan,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,,Morning
202,31/03/2015,Taiz,Al-Mukha,-,Air Defence Military Sites,Military_Security_Target,Military Site,2,unkn,,Early-Morning
203,01/04/2015,Capital,Ma'ain,Madhbah,Al-Sha'ab Stadium,Infrastructure,Sport Facility,1,unkn,,Early-Morning
204,01/04/2015,Capital,Azal,Noqom Mountain,Military Site,Military_Security_Target,Military Site,20,unkn,,Evening
205,01/04/2015,Capital,Al-Thawrah,Al-Hasabah,Maintenance Military Unit,Military_Security_Target,Military Site,20,unkn,,Evening
206,01/04/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn,,Evening
207,01/04/2015,Capital,Al-Thawrah,Al-Jiraf,Residential Area,Civilian,Residential Area,unkn,unkn,,Evening
208,01/04/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn,,Evening
209,01/04/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn,,Evening
210,01/04/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,,Evening
211,01/04/2015,Sanaa,Bani Matar,Ayban Mountain,Unknown,Military_Security_Target,Military Site,19,unkn,,Evening
212,01/04/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn,,Evening
213,01/04/2015,Sanaa,Hamdan,-,YEC Food Storage Units,Economic_infrastructure,Food (storage/transportation),unkn,2,,Evening
